No,科目,種類,プロジェクト,タスク,問題文,解答操作
1,PowerPoint365,模擬試験①,1,1,「表スライド」のスライドをスライド4に追加してください。,スライド3を選択＞ホームタブ＞「新しいスライド」ボタンの文字部分を選択＞「表スライド」を選択
2,PowerPoint365,模擬試験①,1,2,スライド2を複製してください。,スライド2を選択＞「新しいスライド」ボタンの文字部分を選択＞「選択したスライドの複製」を選択
3,PowerPoint365,模擬試験①,1,3,複製したスライドを 非表示 にしてください,スライド3を右クリック＞「非表示スライドに設定」を選択
4,PowerPoint365,模擬試験①,1,4,非表示にしたスライドを削除してください。,スライド3を選択＞Deleteキーを入力
5,PowerPoint365,模擬試験①,1,5,スライド2のレイアウトを「表スライド」に変更してください。,スライド2を選択＞ホームタブ＞「レイアウト」ボタンを選択＞「表スライド」を選択
6,PowerPoint365,模擬試験①,1,6,スライド3の箇条書きを2段組みにしてください。,スライド3を選択＞箇条書きプレースホルダーを選択＞ホームタブ＞「段の追加または削除」ボタンを選択＞「2段組み」を選択
7,PowerPoint365,模擬試験①,1,7,スライド1枚目の吹き出しに「教育者必見」と入力します。,スライド1を選択＞吹き出し図形を選択＞「教育者必見」を入力＞空白部分を選択して図形の選択を解除
8,PowerPoint365,模擬試験①,2,1,すべてのスライドに画面切り替えを「プッシュ」にし、方向を右からに設定してください。,画面切り替えタブ＞画面切り替えの「プッシュ」を選択＞「効果のオプション」ボタンを選択＞「右から」を選択＞「すべてに適用」ボタンを選択
9,PowerPoint365,模擬試験①,2,2,すべての画面切り替えを3秒に設定してください。,画面切り替えタブ＞期間テキストボックスを選択＞「3」と入力＞「すべてに適用」ボタンを選択
10,PowerPoint365,模擬試験①,2,3,スライド3，4，5に「渦巻き」の画面切り替えを設定してください。,スライド3を選択＞「Shift」キーを押しながらスライド5を選択＞画面切り替えタブを選択＞画面切り替え一覧ボタンを選択＞渦巻き」を選択
11,PowerPoint365,模擬試験①,2,4,スライド4の3Ｄモデルに「ターンテーブル」のアニメーションを設定してください,スライド4を選択＞3Dモデルを選択＞アニメーションタブ＞「ターンテーブル」選択＞空白を選択して選択解除
12,PowerPoint365,模擬試験①,2,5,スライド2の人型の画像のアニメーションの効果を「ワイプアウト（横）」に変更し、継続時間を2秒に設定してください。,スライド2選択＞画像選択＞アニメーションタブ＞「効果のオプション」ボタンを選択＞「ワイプアウト（横）」選択＞継続時間テキストボックスを選択＞「2」と入力＞Enterキーで決定
13,PowerPoint365,模擬試験①,2,6,スライド「今年度募集について」の箇条書きのアニメーションの図形をひし形で表示され、箇条書きの段落がクリックするたびに表示されるように設定してください。,スライド4選択＞テキストプレースホルダーを選択＞アニメーションタブ＞「効果のオプション」ボタンを選択＞「ひし形」を選択＞「効果のオプション」ボタンを選択＞「段落別」を選択
14,PowerPoint365,模擬試験①,2,7,スライド6の星の画像にアニメーションの軌跡「プラス」を設定してください。,スライド6を選択＞星の画像選択＞アニメーションタブ＞アニメーション一覧ボタンを選択＞「その他のアニメーションの軌跡効果」を選択＞「プラス」を選択＞「OK」ボタンを選択＞空白を選択して選択解除
15,PowerPoint365,模擬試験①,3,1,スライド5にSmartArt「矢印と長方形のプロセス」の手順を追加して、「1F受付」、「面接室」を追加してください。記入されていないものは削除してください。,スライド5を選択＞Smart Artグラフィックの挿入アイコンを選択＞「手順」を選択＞「矢印と長方形のプロセス」を選択＞OKボタンを選択＞Smart Artグラフィックの一番上のテキストボックスを選択＞「1F受付」と入力＞真ん中のテキストボックスを選択＞「面接室」と入力＞下のテキストボックスを選択＞Backspaceキーで削除＞Smart Artの選択解除
16,PowerPoint365,模擬試験①,3,2,スライド5のSmartArtの色を「塗りつぶし アクセント5」に変更してください。,スライド5選択＞Smart Art選択＞Smart Artのデザインタブ＞「色の変更」ボタンを選択＞「塗りつぶし アクセント5」を選択
17,PowerPoint365,模擬試験①,3,3,スライド6の箇条書きを「縦方向カーブリスト」のSmartArtに変更してください。,スライド6選択＞箇条書きプレースホルダーを選択＞ホームタブ＞Smart Artグラフィックに変換」ボタンを選択＞「その他Smart Artグラフィック」選択＞リスト内の「縦方向カーブリスト」を選択＞OKボタンを選択＞Smart Artの選択解除
18,PowerPoint365,模擬試験①,3,4,スライド1枚目にスライド「この機能が使える！」、「受験当日の流れ」のスライドズームを挿入します。1枚目は含めません。文字より下に配置し2つのスライドズームが重ならないようにます。,スライド1を選択＞挿入タブ＞「ズーム」ボタンを選択＞「スライドズーム」を選択＞「この機能が使える！」と「受験当日の流れ」スライドを選択＞「挿入」ボタンを選択＞2枚のスライドズームをドラッグで移動＞スライドズームの選択解除＞重ならないように1枚ずつ移動
19,PowerPoint365,模擬試験①,4,1,スライド1の画像に「四角形 ぼかし」のスタイルに変更し、「フィルム粒子」のアート効果に設定してください。,スライド1を選択＞画像を選択＞図の形式タブ＞図のスタイル一覧ボタンを選択＞「四角形 ぼかし」を選択＞「アート効果」ボタンを選択＞「フィルム粒子」を選択
20,PowerPoint365,模擬試験①,4,2,スライド1枚目の画像の図の効果を「反射（中）、オフセットなし」に設定してください。,スライド1を選択＞画像を選択＞図の形式タブ＞「図の効果」ボタンを選択＞「反射」を選択＞「反射（中）：オフセットなし」を選択
21,PowerPoint365,模擬試験①,4,3,スライド「教育理念」の子供の画像の代替テキストを装飾化し、スクリーンリーダーに表示させないようにします。,スライド1を選択＞画像を選択＞図の形式タブ＞「代替テキスト」ボタンを選択＞「装飾用にする」にチェック＞代替テキスト作業ウィンドウを閉じる>空白部分をクリックして選択解除
22,PowerPoint365,模擬試験①,4,4,スライド「THANK　YOU」の一番右の画像をスライドに合わせるようにトリミングしてください。画像の大きさは変更しません。,スライド5を選択＞右の画像を選択＞図の形式タブ＞「トリミング」のアイコン部分を選択＞右側をスライドに合わせるようにドラッグ＞「トリミング」のアイコン部分を選択
23,PowerPoint365,模擬試験①,4,5,スライド5の右の画像を左の画像の上端に合わせてください。水平方向には動かさないようにします。,スライド5を選択＞画像を選択＞Shiftキーを押しながらもう一つの画像を選択＞図の形式タブ＞「配置」ボタンを選択＞「上揃え」を選択＞画像の選択解除
24,PowerPoint365,模擬試験①,4,6,スライド3の図形を手前からスマホ、タブレット、モニターのなるように重ねの順番を変更してください。,スライド3を選択＞「スマホ」の図形を選択＞図の形式タブ＞「前面へ移動」の下矢印を選択＞「最前面へ移動」選択＞「モニター」の図形選択＞「背面へ移動」の下矢印選択＞「最背面へ移動」を選択＞図形の選択解除
25,PowerPoint365,模擬試験①,5,1,1ページに3スライドが表示される配布資料にし部単位で4部印刷するように設定してください。,ファイルタブ＞「印刷」を選択＞「フルページサイズのスライド」を選択＞配布資料「3スライド」を選択＞「部単位で印刷」を選択＞部数の欄選択＞「4」と入力＞「ホームに戻る」を選択
26,PowerPoint365,模擬試験①,5,2,スライド5の「いつからでも受講可能です」という文字の塗りつぶしを「茶、テキスト2」に設定してください。,スライド5を選択＞「いつからでも受験可能です」のテキストボックスを選択＞ドラッグで文字を選択＞図形の書式タブ＞「文字の塗りつぶし」ボタンの文字部分を選択＞1行目から「茶、テキスト2」を選択＞空白部分をクリックして選択解除
27,PowerPoint365,模擬試験①,5,3,4枚目の稲妻の図形をスマイルに変更してください。,スライド4を選択＞図形を選択＞図形の書式タブ＞「図形の編集」ボタン＞「図形の変更」を選択＞「スマイル」を選択＞空白部分をクリックして選択解除
28,PowerPoint365,模擬試験①,5,4,スライド4の小さい雲の大きさを他の雲と同じ幅にしてください。,スライド4選択＞大きい雲の画像選択＞図の形式タブ＞幅の数値の確認もしくはコピー＞小さい雲の画像選択＞幅のテキストボックスを選択＞数値入力もしくは貼り付け＞Enterキーで決定＞空白部分をクリックして選択解除
29,PowerPoint365,模擬試験①,5,5,スライド3枚目の3つの図形をグループ化してください。,スライド3を選択＞画像選択＞Shiftキーを押しながら2枚目画像選択＞Shiftキーを押しながら3枚目画像選択＞図形の書式タブ＞グループ化」ボタン＞「グループ化」選択＞空白部分をクリックして選択解除
30,PowerPoint365,模擬試験①,6,1,スライド1にコメント「MOSの説明は詳しく」を挿入してください。,スライド1を選択＞校閲タブ＞「新しいコメント」ボタンを選択＞「MOSの説明は詳しく」を入力＞「コメントを投稿する」ボタンを選択>コメント作業ウィンドウを閉じる
31,PowerPoint365,模擬試験①,6,2,スライド3の背景を「薄い灰色 背景2」に変更してください。,スライド3を選択＞デザインタブ＞「背景の書式設定」ボタンを選択＞「塗りつぶし（単色）」を選択＞「塗りつぶしの色」ボタンを選択＞[薄い灰色 背景2]を選択＞背景の書式設定ウィンドウを閉じる
32,PowerPoint365,模擬試験①,6,3,スライド「MOSについて」に3Dモデル「パソコン」を追加し、幅を「9.5」に変更して、中央の枠に入れてください。正確な位置は問いません。,スライド1選択＞挿入タブ＞3Dモデルの下矢印選択＞「このデバイス」選択＞3Dモデル「パソコン」を選択＞「挿入」ボタン＞ドラッグで枠内に移動＞3Dモデルタブ＞幅のテキストボックスを選択＞「9.5」を入力＞Enterキー＞3Dモデルの選択解除
33,PowerPoint365,模擬試験①,6,4,スライド5枚目の3Dモデル「Shikaku」を下背面にして、高さを7.2に変更してください。,スライド5選択＞3Dモデル選択＞3Dモデルタブ＞3Dモデルビューの一覧ボタンを選択＞「下背面」選択＞高さのテキストボックスを選択＞「7.2」を入力＞Enterキー＞3Dモデルの選択解除
34,PowerPoint365,模擬試験①,7,1,スライド2～5を「資格情報」という名前でセクションを追加してください。,スライド2を選択＞「セクション」ボタンを選択＞「セクションの追加」を選択＞名前「資格情報」を入力＞「名前の変更」ボタンを選択
35,PowerPoint365,模擬試験①,7,2,スライド2の後ろに、プレゼンテーション「英検とは」のスライド2「英検5級」とスライド3「英検4級」を追加してください。,スライド2選択＞ホームタブ＞「スライドの再利用」ボタン選択＞「参照」ボタン選択＞「英検とは」選択＞「コンテンツの選択」を選択＞「英検5級」を選択＞「英検4級」を選択＞スライドの再利用ウィンドウを閉じる
36,PowerPoint365,模擬試験①,7,3,スライド5の後ろに文書「弊社の他の講座一覧」のアウトラインを使用して、スライドを挿入してください。,スライド5選択＞ホームタブ＞「新しいスライド」ボタンの文字部分を選択＞「アウトラインからスライド」を選択＞「弊社の他の講座一覧」を選択＞「挿入」ボタンを選択
37,PowerPoint365,模擬試験①,7,4,スライドショーを自動プレゼンテーションとして設定してください。,スライドショータブ＞「スライドショーの設定」ボタンを選択＞「自動プレゼンテーションの設定」を選択＞「OK」ボタン
38,PowerPoint365,模擬試験①,8,1,スライド「スクールの様子」に、動画「受講の様子」を挿入します。細かい位置は問いません。,スライド6を選択＞「ビデオの挿入」アイコンを選択＞動画を選択＞「挿入」ボタンを選択＞空白部分をクリックして選択解除
39,PowerPoint365,模擬試験①,8,2,スライド5にビデオ「受講の様子」を挿入してください。,スライド5を選択＞挿入タブ＞「ビデオ」ボタンを選択＞「このデバイス」を選択＞「受験の様子」を選択＞「挿入」ボタンを選択
40,PowerPoint365,模擬試験①,8,3,"スライド5のビデオを開始を00:05,終了を00:10に設定してください。",スライド5を選択＞ビデオを選択＞再生タブ＞「ビデオのトリミング」ボタンを選択＞開始時間のテキストボックスを選択＞数値を削除＞開始時間に「00:05」と入力＞終了時間のテキストボックスを選択＞数値を削除＞終了時間に「00：10」と入力＞「OK」ボタン＞空白部分を選択して選択解除
41,PowerPoint365,模擬試験①,8,4,スライド１のオーディオをスライドを切り替えても１回だけ再生するように設定してください。再生は4秒かけてフェードインするようにし、次のスライドに移動しても繰り返えされるようにします,スライド1を選択＞オーディオアイコンを選択＞再生タブ＞「スライドを切り替えても再生」にチェック＞フェードインテキストボックスを選択＞「4」と入力＞Enterキー＞空白部分を選択して選択解除
42,PowerPoint365,模擬試験①,8,5,プレゼンテーションを常に読み取り専用に設定にしてください。,ファイルタブ＞情報を選択＞「プレゼンテーションの保護」ボタンを選択＞「常に読み込み専用で開く」を選択＞ホームに戻る
43,PowerPoint365,模擬試験①,9,1,スライド2枚目の表を元に集合横棒グラフにしてください。データは表をコピーするか直接入力するかどちらでも問題ありません。,スライド2を選択＞「グラフの挿入アイコン」を選択＞「横棒」を選択＞「集合横棒」を選択＞「OK」ボタンを選択＞C列、D列をドラッグ選択＞C列、D列どちらかを右クリック＞削除を選択＞Excel内のセル内データをすべて選択＞「Delete」キーで削除＞表を選択＞表をすべてコピー＞ExcelのA1を選択＞表の内容を貼り付け＞Excelを閉じる＞空白部分を選択して選択解除
44,PowerPoint365,模擬試験①,9,2,スライド「資格取得人数」の表を「中間スタイル1-アクセント4」に変更し1行ずつ色が変わらないようにします。,スライド4を選択＞表内を選択＞テーブルデザインタブ＞表のスタイルの一覧ボタンを選択＞「中間スタイル1-アクセント4」を選択＞「縞模様（行）」のチェックを外す＞空白部分を選択して選択解除
45,PowerPoint365,模擬試験①,9,3,スライド2のグラフのデータラベルを外側に追加してください。,スライド2を選択＞グラフを選択＞グラフのデザインタブ＞「グラフ要素を追加」ボタンを選択＞「データラベル」を選択＞「外側」を選択
46,PowerPoint365,模擬試験①,9,4,スライドのフッターに「www.MOS.jp」とページ番号をタイトルスライド以外に追加してください。,挿入タブ＞「ヘッダーとフッター」ボタンを選択＞フッターのチェックボックスを選択＞フッターのテキストボックスを選択＞「www.MOS.jp」を入力＞「スライド番号」にチェック＞「タイトルスライドに表示しない」にチェック＞「すべてに適用」ボタンを選択
47,PowerPoint365,模擬試験①,9,5,5枚目の資格取得カリキュラムのフッターに「集中的に」と挿入します。他のスライドには表示しません。,スライド5を選択＞挿入タブ＞フッターのテキストボックスを選択＞文字を削除＞「集中的に」と入力＞「適用」ボタンを選択
48,PowerPoint365,模擬試験①,9,6,スライド1枚目のURL部分にハイパーリンクを設定してください。文字はお問い合わせと表示されるようにします。,スライド1選択＞URLを選択＞ホームタブ＞「切り取り」ボタンを選択＞「お問い合わせ」と入力＞入力した文字をドラッグ選択＞挿入タブ＞「リンク」のアイコン部分を選択＞アドレステキストボックスを選択＞URLを貼り付け＞「OK」ボタンを選択＞空白部分を選択して選択解除
49,PowerPoint365,模擬試験①,9,7,スライドの大きさを縦25.04，横33.12に変更し、スライドは画面に合わせます,デザインタブ＞「スライドのサイズ」ボタンを選択＞「ユーザー設定のスライドのサイズ」を選択＞幅のテキストボックスを選択＞横の数値「33.12」を入力＞高さのテキストボックスを選択＞縦の数値「25.04」を入力＞「サイズに合わせて調整」を選択
50,PowerPoint365,模擬試験①,10,1,ドキュメント検査を実行し、コメント、ドキュメントのプロパティと個人情報を削除してください。他は削除しないようにします。ドキュメント検査の前にファイルを保存してくださいというメッセージが表示された場合は「はい」をクリックします。,ファイルタブ＞「情報」を選択＞「問題のチェック」ボタンを選択＞「検査」ボタンを選択＞「ドキュメントのプロパティと個人情報」の「すべて削除」ボタン選択＞「閉じる」を選択＞「ホームに戻る」ボタンを選択
51,PowerPoint365,模擬試験①,10,2,スライド4，5，6を「教育」という目的別スライドショーに設定します。スライドショーは実行しません。,スライドショータブ＞「目的別スライドショー」ボタンを選択＞「目的別スライドショー」を選択＞「新規作成」を選択＞スライドショーの名前を削除＞名前を「教育」に変更＞スライド4，5，6にチェック＞「追加」ボタンを選択＞「OK」ボタンを選択＞「閉じる」を選択
52,PowerPoint365,模擬試験①,10,3,スライド6の「理念まとめ」の下のプレースホルダーを、文字の間隔を広く、幅は3ptにします。,スライド6選択＞文字の入ったプレースホルダーを選択＞文字をドラッグ選択＞ホームタブ＞「文字の間隔」ボタンを選択＞「その他の間隔」を選択＞間隔の下矢印を選択＞「文字間隔を広げる」を選択＞幅のテキストボックスを選択＞数値を削除＞「3」と入力＞「OK」ボタンを選択＞空白部分を選択して選択解除
53,PowerPoint365,模擬試験①,10,4,表示をグレースケールに変更し、スライド1の子供の画像をグレースケールの反転にしてください。,表示タブ＞「グレースケール」ボタンを選択＞スライド1を選択＞画像を選択＞「反転させたグレースケール」を選択＞空白部分を選択して選択解除
54,PowerPoint365,模擬試験①,10,5,スライドマスターのテーマを「イオン」に変更してください。,表示タブ＞「スライドマスター」ボタンを選択＞「テーマ」ボタンを選択＞「イオン」を選択＞「マスター表示を閉じる」ボタンを選択
55,PowerPoint365,模擬試験①,10,6,スライドマスターの「タイトルとコンテンツ」レイアウトの背景のデザインを非表示にしてください。,表示タブ＞「スライドマスター」ボタンを選択＞「タイトルとコンテンツ」スライドを選択＞「背景のスタイル」ボタンを選択＞「背景グラフィックを表示しない」にチェック＞背景の書式ウィンドウを閉じる＞「マスター表示を閉じる」ボタンを選択
56,PowerPoint365,模擬試験①,10,7,スライドマスターの「白紙」という名前のスライドを複製して「画像付きスライド」と名前を変更してください。その後、グラフ付きプレースホルダーをスライドの左側に、テキストプレースホルダーを右側に配置してください。細かい配置は問いません。新しいスライドを追加ボタンを使用しないようにしてください。,表示タブ＞「スライドマスター」ボタン選択＞「白紙」スライドを選択＞右クリック＞「レイアウトの複製」選択＞複製したスライドを右クリック＞「レイアウト名の変更」を選択＞「画像付きスライド」と入力＞「名前の変更」をボタン＞「プレースホルダーの挿入」ボタンの文字部分を選択＞「グラフ」を選択＞左側にドラッグで挿入＞「プレースホルダーの挿入」ボタンの文字部分を選択＞「テキスト」を選択＞右側にドラッグで挿入＞スライドマスタータブ＞「マスター表示を閉じる」ボタン選択
57,PowerPoint365,模擬試験①,11,1,スライドのサイズを「画面に合わせる16：10」にしてください。,[デザイン]タブを選択＞[スライドのサイズ]ボタンを選択＞[ユーザー設定のスライドのサイズ]を選択＞[スライドのサイズ指定]の下矢印を選択＞[画面に合わせる (16:10)]を選択>[OK] ボタンを選択＞[サイズに合わせて調整]を選択
58,PowerPoint365,模擬試験①,11,2,スライド1のセクション名を「タイトル」とします。,[既定のセクション]を右クリック＞[セクション名の変更]を選択＞文字を削除＞[タイトル]と入力＞[名前の変更]ボタンを選択
59,PowerPoint365,模擬試験①,11,3,３枚目のスライドの箇条書きの入ったテキストボックスに塗りつぶし「濃い青緑、アクセント1。白+基本色60％」、枠線「濃い青」太さ「1.5pt」を設定します。,[スライド3]を選択＞箇条書きのある[プレースホルダ]を選択＞[図形の書式]タブを選択＞[図形の塗りつぶし] ボタンを選択＞[濃い青緑、アクセント1、白+基本色60%]を選択＞[図形の枠線] ボタンを選択＞[濃い青] を選択＞[図形の枠線] ボタンを選択＞[太さ] を選択し、[1.5pt] になってることを確認
60,PowerPoint365,模擬試験①,11,4,配布資料マスターで、日付を削除、フッターに「四季のうつろい」と入力します。,[表示] タブを選択＞[配布資料マスター] ボタンを選択＞[日付] チェックボックスボタンを選択＞フッターのテキストボックスを選択＞「四季のうつろい」を入力＞[マスター表示を閉じる] ボタンを選択
61,PowerPoint365,模擬試験①,11,5,5枚目のアイコンに「青」の塗りつぶしを設定します。,「スライド5」を選択＞アイコンを選択＞[グラフィックス形式] タブを選択＞[グラフィックの塗りつぶし] ボタンを選択＞[青] を選択
62,PowerPoint365,模擬試験①,11,6,スライド2の箇条書きの入ったテキストボックスがスライドに合わせて、垂直方向の中央に配置します。,「スライド2」を選択＞テキストボックスを選択＞[図形の書式] タブを選択＞[配置]ボタンを選択＞[上下中央揃え] を選択
63,PowerPoint365,模擬試験①,11,7,ノートですべてのスライドを3部印刷するように設定してください。ただし1ページ目を全て印刷したあとに2ページ目を印刷するようにします。,[ファイル]タブを選択＞[印刷] を選択＞[部数] テキストボックスを選択＞[3]を入力＞[スライドと配布資料] を選択＞[ノート] を選択＞[部単位で印刷]を選択＞[ページ単位で印刷] を選
